sample	total	length	%GC	Q20	Q30	depth
10.IgG	28745521	36	46	0.941530090896596	0.831232977130594	0.422046
11.Tet1-C	36957327	36	46	0.95887213379907	0.850379926015753	0.542612
12.Tet1-N	34481295	36	46	0.972743971506663	0.889108783463527	0.506259
13.Sin3A-A	32036560	36	45	0.972798499184593	0.873614061581694	0.470365
20.IgG	21688279	36	44	0.987259892774341	0.915938558333743	0.31843
21.5hmC	30413920	36	45	0.985921413615871	0.92098828431192	0.446541
22.5mC	29563089	36	42	0.983604622642783	0.910970061349137	0.434049
